File,ID
51_Z_Mini_051_Lid_L_2_S35,jhu00170
52_Z_Mini_051_Skin_L_2_S36,jhu00171
53_Z_Mini_051_Conj_L_3_S37,jhu00172
54_Z_Mini_051_Lid_L_3_S38,jhu00173
55_Z_Mini_051_Skin_L_3_S39,jhu00174
56_Z_Mini_049_ISO_Cont_1_S40,jhu00175
57_Z_Mini_050_ISO_Cont_1_S41,jhu00176
58_Z_Mini_049_ISO_Cont_2_S42,jhu00177
59_Z_Mini_050_ISO_Cont_3_S43,jhu00178
5_Zymo_Micro_Prep_CS_005_Left_Eye_S85,jhu00179
60_Z_Mini_049_ISO_Cont_3_S44,jhu00180
61_Z_Mini__MCS_OMR_B1001_S45,jhu00181
62_Z_Mini__OMR_B1001_S46,jhu00182
63_Qiagen_DNeasy_049_Conj_L_1_S47,jhu00183
64_Qiagen_DNeasy_049_049_Lid_L_1_S48,jhu00184
65_Qiagen_DNeasy_049_Skin_L_1_S49,jhu00185
66_Qiagen_DNeasy_049_Conj_L_2_S50,jhu00186
67_Qiagen_DNeasy_049_Lid_L_2_S51,jhu00187
68_Qiagen_DNeasy_049_Skin_L_2_S52,jhu00188
69_Qiagen_DNeasy_049_Conj_L_3_S53,jhu00189
6_Zymo_Micro_Prep_CS_006_Right_Eye_S86,jhu00190
70_Qiagen_DNeasy_049_Lid_L_3_S54,jhu00191
71_Qiagen_DNeasy_049_Skin_L_3_S55,jhu00192
72_Qiagen_DNeasy_050_Conj_R_1_S56,jhu00193
73_Qiagen_DNeasy_050_Lid_R_1_S57,jhu00194
74_Qiagen_DNeasy_050_Skin_R_1_S58,jhu00195
75_Qiagen_DNeasy_050_Conj_R_2_S59,jhu00196
76_Qiagen_DNeasy_050_Lid_R_2_S60,jhu00197
77_Qiagen_DNeasy_050_Skin_R_2_S61,jhu00198
78_Qiagen_DNeasy_050_Conj_R_3_S62,jhu00199
79_Qiagen_DNeasy_050_Lid_R_3_S63,jhu00200
7_Zymo_Micro_Prep_CS_007_Left_Eye_S87,jhu00201
80_Qiagen_DNeasy_050_Skin_R_3_S64,jhu00202
81_Qiagen_DNeasy_051_Conj_L_1_S65,jhu00203
82_Qiagen_DNeasy_051_Lid_L_1_S66,jhu00204
83_Qiagen_DNeasy_051_Skin_L_1_S67,jhu00205
84_Qiagen_DNeasy_051_Conj_L_2_S68,jhu00206
85_Qiagen_DNeasy_051_Lid_L_2_S69,jhu00207
86_Qiagen_DNeasy_051_Skin_L_2_S70,jhu00208
87_Qiagen_DNeasy_051_Conj_L_3_S71,jhu00209
88_Qiagen_DNeasy_051_Lid_L_3_S72,jhu00210
89_Qiagen_DNeasy_051_Skin_L_3_S73,jhu00211
8_Zymo_Micro_Prep_CS_008_Right_Eye_S88,jhu00212
90_Qiagen_DNeasy_049_ISO_Cont_1_S74,jhu00213
91_Qiagen_DNeasy_050_ISO_Cont_1_S75,jhu00214
92_Qiagen_DNeasy_049_ISO_Cont_2_S76,jhu00215
93_Qiagen_DNeasy_050_ISO_Cont_3_S77,jhu00216
94_Qiagen_DNeasy_049_ISO_Cont_3_S78,jhu00217
95_Qiagen_DNeasy_MCS_OMR_B1001_S79,jhu00218
96_Qiagen_DNeasy_OMR_B1001_S80,jhu00219
9_Zymo_Micro_Prep_CS_009_Left_Eye_S89,jhu00220
