Citations,PI,Title,Link,Year
281,Russell Van Gelder,"Physiologic diversity and development of intrinsically photosensitive retinal ganglion cellsDC Tu, D Zhang, J Demas, EB Slutsky, I Provencio, TE Holy, ...Neuron 48 (6), 987-999, 2005",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cBYEMm4AAAAJ&citation_for_view=cBYEMm4AAAAJ:IjCSPb-OGe4C,2005
274,Steven Salzberg,"Ultrafast and accurate 16S rRNA microbial community analysis using Kraken 2J Lu, SL SalzbergMicrobiome 8 (1), 124, 2020",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=sUVeH-4AAAAJ&cstart=100&pagesize=100&citation_for_view=sUVeH-4AAAAJ:rbGdIwl2e6cC,2020
263,Cintia de Paiva,"Phenotypic characterization of human corneal epithelial cells expanded ex vivo from limbal explant and single cell culturesHS Kim, XJ Song, CS De Paiva, Z Chen, SC Pflugfelder, DQ LiExperimental eye research 79 (1), 41-49, 2004",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=X2vF2DkAAAAJ&citation_for_view=X2vF2DkAAAAJ:d1gkVwhDpl0C,2004
257,Russell Van Gelder,"Paucibacterial microbiome and resident DNA virome of the healthy conjunctivaT Doan, L Akileswaran, D Andersen, B Johnson, N Ko, A Shrestha, ...Investigative ophthalmology & visual science 57 (13), 5116-5126, 2016",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cBYEMm4AAAAJ&citation_for_view=cBYEMm4AAAAJ:8d8msizDQcsC,2016
235,Cintia de Paiva,"Corneal epitheliopathy of dry eye induces hyperesthesia to mechanical air jet stimulationCS De Paiva, SC PflugfelderAmerican journal of ophthalmology 137 (1), 109-115, 2004",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=X2vF2DkAAAAJ&citation_for_view=X2vF2DkAAAAJ:dfsIfKJdRG4C,2004
231,Russell Van Gelder,"Restoring visual function to blind mice with a photoswitch that exploits electrophysiological remodeling of retinal ganglion cellsI Tochitsky, A Polosukhina, VE Degtyar, N Gallerani, CM Smith, ...Neuron 81 (4), 800-813, 2014",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cBYEMm4AAAAJ&citation_for_view=cBYEMm4AAAAJ:V3AGJWp-ZtQC,2014
230,Cintia de Paiva,"Desiccating stress stimulates expression of matrix metalloproteinases by the corneal epitheliumRM Corrales, ME Stern, CS De Paiva, J Welch, DQ Li, SC PflugfelderInvestigative ophthalmology & visual science 47 (8), 3293-3302, 2006",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=X2vF2DkAAAAJ&citation_for_view=X2vF2DkAAAAJ:eQOLeE2rZwMC,2006
229,Cintia de Paiva,"Apical corneal barrier disruption in experimental murine dry eye is abrogated by methylprednisolone and doxycyclineCS De Paiva, RM Corrales, AL Villarreal, W Farley, DQ Li, ME Stern, ...Investigative ophthalmology & visual science 47 (7), 2847-2856, 2006",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=X2vF2DkAAAAJ&citation_for_view=X2vF2DkAAAAJ:YsMSGLbcyi4C,2006
217,Cintia de Paiva,"Effects of aging in dry eyeCS de PaivaInternational ophthalmology clinics 57 (2), 47-64, 2017",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=X2vF2DkAAAAJ&citation_for_view=X2vF2DkAAAAJ:S16KYo8Pm5AC,2017
209,Russell Van Gelder,"Functional redundancy of cryptochromes and classical photoreceptors for nonvisual ocular photoreception in miceCP Selby, C Thompson, TM Schmitz, RN Van Gelder, A SancarProceedings of the National Academy of Sciences 97 (26), 14697-14702, 2000",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cBYEMm4AAAAJ&citation_for_view=cBYEMm4AAAAJ:2osOgNQ5qMEC,2000
208,Cintia de Paiva,"Effects of sequential artificial tear and cyclosporine emulsion therapy on conjunctival goblet cell density and transforming growth factor-β2 productionSC Pflugfelder, CS De Paiva, AL Villarreal, ME SternCornea 27 (1), 64-69, 2008",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=X2vF2DkAAAAJ&cstart=20&pagesize=80&citation_for_view=X2vF2DkAAAAJ:_FxGoFyzp5QC,2008
205,Cintia de Paiva,"Expression of Th-1 chemokines and chemokine receptors on the ocular surface of C57BL/6 mice: effects of desiccating stressKC Yoon, CS De Paiva, H Qi, Z Chen, WJ Farley, DQ Li, SC PflugfelderInvestigative ophthalmology & visual science 48 (6), 2561-2569, 2007",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=X2vF2DkAAAAJ&cstart=20&pagesize=80&citation_for_view=X2vF2DkAAAAJ:ufrVoPGSRksC,2007
