omc_id,sample_id,non_human_reads
uw00245,sf71d1bbe96f5,102184
uw00246,sf7ecff08b48e,22198
uw00247,sf8a4bfa06d0c,13289
uw00248,sfaa1a6a40fd0,496460
uw00249,sfae3832f926b,14335
uw00250,sfcabbf180143,95218
uw00251,sfd7b6454a794,26897
uw00252,sfeab923ccfb8,388864
uw00253,s077882547590,750735
uw00254,s06afdff9c915,259254
uw00255,s05c205d012a8,304369
uw00256,s0315b2ae4997,189506
uw00257,s02f2a2ebedef,19258
uw00258,s024681400ade,356539
